,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset
53,0.04847396768402157,0.06095238095238087,-0.01869158878504673,-0.020744356314826073,0.014860681114551078,-0.007375537799631182,55.0,0.1090367987797296,0.03241029535407236,401346.0,304528.0,78.52,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020,12,103,-0.010631104197268228,-1,-0.04847396768402157,-0.04847396768402157
54,-0.013127853881278573,0.04847396768402157,0.06095238095238087,-0.01869158878504673,-0.020744356314826073,0.014860681114551078,52.65,-0.22864560753065932,-0.3985413492355383,309580.0,183161.0,75.17,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020,12,104,-0.010241968800178853,-1,0.013127853881278573,-0.035346113802742996
55,-0.0080971659919028,-0.013127853881278573,0.04847396768402157,0.06095238095238087,-0.01869158878504673,-0.020744356314826073,46.95,-0.15560113702435563,-0.15913322159193277,261409.0,154014.0,66.26,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020,12,105,-0.00933073108348229,-1,0.0080971659919028,-0.027248947810840196
57,0.005830903790087438,-0.0080971659919028,-0.013127853881278573,0.04847396768402157,0.06095238095238087,-0.01869158878504673,49.38,-0.11129303122692791,0.14118197047021708,232316.0,175758.0,69.54,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2021,1,106,-0.008379209667471244,-1,-0.005830903790087438,-0.033079851600927634
58,0.012753623188405783,0.005830903790087438,-0.0080971659919028,-0.013127853881278573,0.04847396768402157,0.06095238095238087,51.6,0.09515487525611666,0.14341879174774408,254422.0,200965.0,72.66,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2021,1,107,-0.006093594433825633,-1,-0.012753623188405783,-0.04583347478933342
59,0.011448196908986796,0.012753623188405783,0.005830903790087438,-0.0080971659919028,-0.013127853881278573,0.04847396768402157,53.19,-0.08781866348035938,-0.10744657029831062,232079.0,179372.0,74.89,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2021,1,108,-0.006124651832257986,-1,-0.011448196908986796,-0.05728167169832021
60,-0.009620826259196358,0.011448196908986796,0.012753623188405783,0.005830903790087438,-0.0080971659919028,-0.013127853881278573,52.56,0.00932871996173712,-0.01172423789666166,234244.0,177269.0,74.42,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021,2,109,0.0009875753460758523,1,-0.009620826259196358,-0.06690249795751657
61,0.03314285714285714,-0.009620826259196358,0.011448196908986796,0.012753623188405783,0.005830903790087438,-0.0080971659919028,54.92,0.02114461843206228,0.021504041879854885,239197.0,181081.0,77.77,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021,2,110,0.0012900093583787249,1,0.03314285714285714,-0.03375964081465943
62,0.11172566371681425,0.03314285714285714,-0.009620826259196358,0.011448196908986796,0.012753623188405783,0.005830903790087438,54.92,0.11073717479734269,0.09366526582026835,265685.0,198042.0,80.82,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021,2,111,0.00410841017738588,1,0.11172566371681425,0.07796602290215482
64,0.017910447761193993,0.11172566371681425,0.03314285714285714,-0.009620826259196358,0.011448196908986796,0.012753623188405783,58.48,0.15170220373750865,0.19409519192898483,305990.0,236481.0,82.82,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021,3,113,0.030739628841896204,1,0.017910447761193993,0.09587647066334881
65,0.025415444770283457,0.017910447761193993,0.11172566371681425,0.03314285714285714,-0.009620826259196358,0.011448196908986796,58.51,0.11728487859080361,-0.0031207581158739783,341878.0,235743.0,82.86,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021,3,114,0.02675501904020374,1,0.025415444770283457,0.12129191543363227
66,-0.011439466158245981,0.025415444770283457,0.017910447761193993,0.11172566371681425,0.03314285714285714,-0.009620826259196358,57.45,0.47168873106780773,0.43809996479216773,503138.0,339022.0,81.35,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021,3,115,0.027575724491778936,1,-0.011439466158245981,0.10985244927538629
67,-0.005785920925747368,-0.011439466158245981,0.025415444770283457,0.017910447761193993,0.11172566371681425,0.03314285714285714,58.5,0.11385743076452193,0.025346437694308888,560424.0,347615.0,82.5,35.0,37.3,59.5,13.0,11.1,62.4,8.7,59.2,13.4,59.0,85.4,32.4,6.5,89.9,1.7,1.0,2021,3,116,0.027042496077064524,1,-0.005785920925747368,0.10406652834963892
68,-0.07225994180407369,-0.005785920925747368,-0.011439466158245981,0.025415444770283457,0.017910447761193993,0.11172566371681425,59.82,0.017900732302685185,-0.05830013089193509,570456.0,327349.0,84.35,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021,4,117,0.05156564109574295,1,-0.07225994180407369,0.03180658654556523
69,-0.004704652378463181,-0.07225994180407369,-0.005785920925747368,-0.011439466158245981,0.025415444770283457,0.017910447761193993,58.43,-0.12801863772140187,-0.18597887881129926,497427.0,266469.0,82.23,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021,4,118,0.051186968833303766,1,-0.004704652378463181,0.02710193416710205
70,0.00997899159663862,-0.004704652378463181,-0.07225994180407369,-0.005785920925747368,-0.011439466158245981,0.025415444770283457,59.3,-0.10261606225637132,-0.27064311420840703,446383.0,194351.0,83.63,25.6,29.8,40.2,22.5,20.2,39.9,17.9,37.2,62.3,63.2,67.4,42.9,69.8,81.7,4.4,2.1,2021,4,119,0.03821727393709837,1,0.00997899159663862,0.03708092576374067
